Question,Answer
"What is Euclidean distance?","Euclidean distance measures straight-line distance between points in feature space, commonly used in clustering, nearest neighbors, and similarity measurements."
"What is Manhattan distance?","Manhattan distance sums absolute differences across dimensions, measuring grid-like distance, being more robust to outliers than Euclidean distance."
"What is the Jaccard index?","Jaccard index measures set similarity by dividing intersection size by union size, used for comparing clusters, documents, or binary features."
"What is the Dice coefficient?","Dice coefficient measures overlap between sets by calculating twice their intersection divided by their total sizes, commonly used in image segmentation evaluation."
"What is IoU?","Intersection over Union measures bounding box overlap by dividing intersection area by union area, evaluating object detection accuracy with threshold-based matching."
"What is non-max suppression?","NMS eliminates redundant overlapping bounding boxes by keeping highest-confidence detections and suppressing similar boxes, cleaning up detection outputs."
"What is anchor boxes?","Anchor boxes are predefined bounding box templates at various scales and aspect ratios, serving as references that object detectors refine for predictions."
"What is region proposal?","Region proposals identify candidate object locations in images, generating potential bounding boxes that classifiers evaluate, as in R-CNN architectures."
"What is YOLO?","YOLO performs real-time object detection by dividing images into grids and predicting bounding boxes and classes directly in a single forward pass."
"What is R-CNN?","R-CNN uses selective search for region proposals, extracts CNN features from each region, and classifies with SVMs, pioneering deep learning for detection."
"What is Faster R-CNN?","Faster R-CNN integrates region proposal network with detection network, sharing computation and enabling end-to-end training for efficient accurate object detection."
"What is Mask R-CNN?","Mask R-CNN extends Faster R-CNN with segmentation masks, performing instance segmentation by adding a branch predicting pixel-level masks for each detection."
"What is residual network?","ResNets use skip connections that add inputs to outputs, enabling training of very deep networks by mitigating vanishing gradients and degradation problems."
"What is inception module?","Inception modules apply multiple filter sizes in parallel and concatenate results, capturing multi-scale features efficiently within a single layer."
"What is MobileNet?","MobileNet uses depthwise separable convolutions to reduce parameters and computation, enabling efficient deployment on mobile and embedded devices."
"What is EfficientNet?","EfficientNet systematically scales network depth, width, and resolution using compound scaling, achieving state-of-the-art accuracy with fewer parameters."
"What is neural network pruning?","Pruning removes unimportant weights or neurons based on magnitude, gradient, or other criteria, creating sparse networks that maintain accuracy with reduced complexity."
"What is lottery ticket hypothesis?","The lottery ticket hypothesis proposes that randomly initialized networks contain sparse subnetworks that can train to full accuracy when isolated early."
"What is neural architecture search?","NAS automatically discovers optimal architectures by searching design spaces using reinforcement learning, evolution, or differentiable methods, automating network design."
"What is mixed precision training?","Mixed precision training uses lower precision like FP16 for most operations while maintaining FP32 for critical steps, accelerating training with reduced memory."
"What is gradient accumulation?","Gradient accumulation computes gradients over multiple mini-batches before updating weights, simulating larger batch sizes when memory is limited."
"What is distributed training?","Distributed training parallelizes model training across multiple devices or machines, using data or model parallelism to handle large datasets and models."
"What is data parallelism?","Data parallelism replicates models across devices, processing different data batches in parallel and synchronizing gradients to update shared parameters."
"What is model parallelism?","Model parallelism splits model layers across devices when the model is too large for single device memory, with different devices processing different layers."
"What is pipeline parallelism?","Pipeline parallelism divides models into stages across devices, processing multiple micro-batches simultaneously in a pipeline to improve device utilization."
"What is zero redundancy optimizer?","ZeRO partitions optimizer states, gradients, and parameters across devices, reducing per-device memory while maintaining training efficiency through communication."
"What is few-shot prompting?","Few-shot prompting provides language models with a few examples in the prompt to demonstrate the task, enabling adaptation without parameter updates."
"What is zero-shot learning?","Zero-shot learning enables models to recognize classes never seen during training by leveraging auxiliary information like descriptions or attributes."
"What is prompt engineering?","Prompt engineering designs input prompts to elicit desired behaviors from language models, crafting instructions, examples, and context for optimal responses."
"What is in-context learning?","In-context learning allows language models to perform tasks by conditioning on examples and instructions in the prompt without updating weights."
"What is continual learning?","Continual learning trains models on sequential tasks while retaining knowledge from previous tasks, addressing catastrophic forgetting in non-stationary environments."
"What is catastrophic forgetting?","Catastrophic forgetting occurs when neural networks lose previously learned information upon learning new tasks, overwriting weights needed for earlier knowledge."
"What is elastic weight consolidation?","EWC prevents catastrophic forgetting by adding penalties for changing important weights, identifying critical parameters for previous tasks through Fisher information."
"What is online learning?","Online learning updates models incrementally as new data arrives in streams, adapting continuously without retraining from scratch on accumulated data."
