Question,Answer
"What is contrastive learning?","Contrastive learning trains models by pulling similar examples together and pushing dissimilar ones apart in representation space."
"What is data drift?","Data drift occurs when statistical properties of production data differ from training data, potentially degrading model performance over time."
"What is model monitoring?","Model monitoring tracks deployed model performance, data quality, and system health, detecting issues like drift, bias, or degradation."
"What is A/B testing for models?","A/B testing compares model versions by randomly assigning users to different models and measuring business metrics to determine which performs better."
"What is model versioning?","Model versioning tracks different iterations of models, including code, hyperparameters, and training data, enabling reproducibility and rollback capabilities."
"What is MLOps?","MLOps applies DevOps principles to ML, establishing practices for deployment, monitoring, versioning, and automation of ML systems in production."
"What is feature store?","A feature store centralizes feature definitions and serves consistent features for training and inference, ensuring feature reusability and consistency."
"What is model interpretability?","Model interpretability explains how models make decisions, using techniques like SHAP, LIME, or attention visualization to understand predictions."
"What is SHAP values?","SHAP values quantify each feature's contribution to individual predictions using game theory, providing unified interpretability across model types."
"What is model bias?","Model bias occurs when models systematically favor certain groups or outcomes, potentially perpetuating or amplifying societal biases present in training data."
"What is fairness in ML?","Fairness ensures models treat different groups equitably, measured through metrics like demographic parity, equal opportunity, or equalized odds."
"What is federated learning?","Federated learning trains models across decentralized devices without centralizing data, preserving privacy by sharing only model updates."
"What is differential privacy?","Differential privacy adds controlled noise to computations, providing mathematical guarantees that individual data points cannot be identified from model outputs."
"What is neural architecture search?","NAS automatically discovers optimal network architectures using methods like reinforcement learning, evolution, or gradient-based optimization."
"What is meta-learning?","Meta-learning trains models to learn how to learn, enabling quick adaptation to new tasks with minimal examples by learning across task distributions."
"What is few-shot learning?","Few-shot learning trains models to recognize new classes from very few examples, typically using metric learning or meta-learning approaches."
